"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","B27010_001",4957633,3134
"2","01","Alabama","B27010_017",47245,5678
"3","01","Alabama","B27010_033",196603,10844
"4","01","Alabama","B27010_050",240097,11914
"5","01","Alabama","B27010_066",4626,1600
"6","02","Alaska","B27010_001",702154,2286
"7","02","Alaska","B27010_017",14699,2703
"8","02","Alaska","B27010_033",32923,3185
"9","02","Alaska","B27010_050",30421,3097
"10","02","Alaska","B27010_066",2040,817
"11","04","Arizona","B27010_001",7174053,3100
"12","04","Arizona","B27010_017",145931,11305
"13","04","Arizona","B27010_033",264439,12097
"14","04","Arizona","B27010_050",345335,13093
"15","04","Arizona","B27010_066",10435,2576
"16","05","Arkansas","B27010_001",2974701,1677
"17","05","Arkansas","B27010_017",42924,5384
"18","05","Arkansas","B27010_033",101947,7704
"19","05","Arkansas","B27010_050",125887,7270
"20","05","Arkansas","B27010_066",2271,1090
"21","06","California","B27010_001",38724294,5964
"22","06","California","B27010_017",321328,12536
"23","06","California","B27010_033",948899,19950
"24","06","California","B27010_050",1375125,21971
"25","06","California","B27010_066",67188,4682
"26","08","Colorado","B27010_001",5715497,3539
"27","08","Colorado","B27010_017",61100,6213
"28","08","Colorado","B27010_033",168390,8889
"29","08","Colorado","B27010_050",219517,8988
"30","08","Colorado","B27010_066",6353,1542
"31","09","Connecticut","B27010_001",3557526,1439
"32","09","Connecticut","B27010_017",18622,2894
"33","09","Connecticut","B27010_033",64416,4910
"34","09","Connecticut","B27010_050",95860,6296
"35","09","Connecticut","B27010_066",4633,1420
"36","10","Delaware","B27010_001",987964,1320
"37","10","Delaware","B27010_017",8251,2413
"38","10","Delaware","B27010_033",18434,2812
"39","10","Delaware","B27010_050",28931,3013
"40","10","Delaware","B27010_066",1110,716
"41","11","District of Columbia","B27010_001",659979,984
"42","11","District of Columbia","B27010_017",4916,2383
"43","11","District of Columbia","B27010_033",9862,2457
"44","11","District of Columbia","B27010_050",8949,1687
"45","11","District of Columbia","B27010_066",500,382
"46","12","Florida","B27010_001",21465883,5177
"47","12","Florida","B27010_017",331728,14136
"48","12","Florida","B27010_033",916957,19377
"49","12","Florida","B27010_050",1300481,26156
"50","12","Florida","B27010_066",49301,4897
"51","13","Georgia","B27010_001",10600385,5351
"52","13","Georgia","B27010_017",176101,10809
"53","13","Georgia","B27010_033",507735,15019
"54","13","Georgia","B27010_050",643912,18820
"55","13","Georgia","B27010_066",11174,1978
"56","15","Hawaii","B27010_001",1381713,3185
"57","15","Hawaii","B27010_017",8955,2358
"58","15","Hawaii","B27010_033",18919,2410
"59","15","Hawaii","B27010_050",24531,3221
"60","15","Hawaii","B27010_066",2057,1078
"61","16","Idaho","B27010_001",1879248,1509
"62","16","Idaho","B27010_017",35112,4173
"63","16","Idaho","B27010_033",53788,5330
"64","16","Idaho","B27010_050",75624,6177
"65","16","Idaho","B27010_066",1405,745
"66","17","Illinois","B27010_001",12495329,2402
"67","17","Illinois","B27010_017",95213,6692
"68","17","Illinois","B27010_033",313187,11188
"69","17","Illinois","B27010_050",450416,11789
"70","17","Illinois","B27010_066",16283,2533
"71","18","Indiana","B27010_001",6707875,2435
"72","18","Indiana","B27010_017",100133,8573
"73","18","Indiana","B27010_033",176951,8350
"74","18","Indiana","B27010_050",220849,9534
"75","18","Indiana","B27010_066",6463,1473
"76","19","Iowa","B27010_001",3151182,1330
"77","19","Iowa","B27010_017",26206,3506
"78","19","Iowa","B27010_033",54059,4796
"79","19","Iowa","B27010_050",69455,4840
"80","19","Iowa","B27010_066",1565,643
"81","20","Kansas","B27010_001",2878792,2155
"82","20","Kansas","B27010_017",37565,4988
"83","20","Kansas","B27010_033",95939,5688
"84","20","Kansas","B27010_050",128319,6812
"85","20","Kansas","B27010_066",1907,717
