"GEOID","NAME","variable","estimate","moe"
"01","Alabama","B27010_001",4957633,3134
"01","Alabama","B27010_017",47245,5678
"01","Alabama","B27010_033",196603,10844
"01","Alabama","B27010_050",240097,11914
"01","Alabama","B27010_066",4626,1600
"02","Alaska","B27010_001",702154,2286
"02","Alaska","B27010_017",14699,2703
"02","Alaska","B27010_033",32923,3185
"02","Alaska","B27010_050",30421,3097
"02","Alaska","B27010_066",2040,817
"04","Arizona","B27010_001",7174053,3100
"04","Arizona","B27010_017",145931,11305
"04","Arizona","B27010_033",264439,12097
"04","Arizona","B27010_050",345335,13093
"04","Arizona","B27010_066",10435,2576
"05","Arkansas","B27010_001",2974701,1677
"05","Arkansas","B27010_017",42924,5384
"05","Arkansas","B27010_033",101947,7704
"05","Arkansas","B27010_050",125887,7270
"05","Arkansas","B27010_066",2271,1090
"06","California","B27010_001",38724294,5964
"06","California","B27010_017",321328,12536
"06","California","B27010_033",948899,19950
"06","California","B27010_050",1375125,21971
"06","California","B27010_066",67188,4682
"08","Colorado","B27010_001",5715497,3539
"08","Colorado","B27010_017",61100,6213
"08","Colorado","B27010_033",168390,8889
"08","Colorado","B27010_050",219517,8988
"08","Colorado","B27010_066",6353,1542
"09","Connecticut","B27010_001",3557526,1439
"09","Connecticut","B27010_017",18622,2894
"09","Connecticut","B27010_033",64416,4910
"09","Connecticut","B27010_050",95860,6296
"09","Connecticut","B27010_066",4633,1420
"10","Delaware","B27010_001",987964,1320
"10","Delaware","B27010_017",8251,2413
"10","Delaware","B27010_033",18434,2812
"10","Delaware","B27010_050",28931,3013
"10","Delaware","B27010_066",1110,716
"11","District of Columbia","B27010_001",659979,984
"11","District of Columbia","B27010_017",4916,2383
"11","District of Columbia","B27010_033",9862,2457
"11","District of Columbia","B27010_050",8949,1687
"11","District of Columbia","B27010_066",500,382
"12","Florida","B27010_001",21465883,5177
"12","Florida","B27010_017",331728,14136
"12","Florida","B27010_033",916957,19377
"12","Florida","B27010_050",1300481,26156
"12","Florida","B27010_066",49301,4897
"13","Georgia","B27010_001",10600385,5351
"13","Georgia","B27010_017",176101,10809
"13","Georgia","B27010_033",507735,15019
"13","Georgia","B27010_050",643912,18820
"13","Georgia","B27010_066",11174,1978
"15","Hawaii","B27010_001",1381713,3185
"15","Hawaii","B27010_017",8955,2358
"15","Hawaii","B27010_033",18919,2410
"15","Hawaii","B27010_050",24531,3221
"15","Hawaii","B27010_066",2057,1078
"16","Idaho","B27010_001",1879248,1509
"16","Idaho","B27010_017",35112,4173
"16","Idaho","B27010_033",53788,5330
"16","Idaho","B27010_050",75624,6177
"16","Idaho","B27010_066",1405,745
"17","Illinois","B27010_001",12495329,2402
"17","Illinois","B27010_017",95213,6692
"17","Illinois","B27010_033",313187,11188
"17","Illinois","B27010_050",450416,11789
"17","Illinois","B27010_066",16283,2533
"18","Indiana","B27010_001",6707875,2435
"18","Indiana","B27010_017",100133,8573
"18","Indiana","B27010_033",176951,8350
"18","Indiana","B27010_050",220849,9534
"18","Indiana","B27010_066",6463,1473
"19","Iowa","B27010_001",3151182,1330
"19","Iowa","B27010_017",26206,3506
"19","Iowa","B27010_033",54059,4796
"19","Iowa","B27010_050",69455,4840
